id,artist,uri,ntnl,mvmnt,born,died
1,"Abbo, Jussuf",http://dbpedia.org/resource/Jussuf_Abbo,nA,nA,nA,nA
2,"Achmann, Josef",http://dbpedia.org/resource/Josef_Achmann,nA,nA,nA,nA
3,"Adler, Jankel",http://dbpedia.org/resource/Jankel_Adler,nA,nA,1895-07-26,1949-04-25
4,"Albers, Josef",http://dbpedia.org/resource/Josef_Albers,nA,Geometric abstraction,1888-03-19,1976-03-26
5,"Altherr, Heinrich",http://dbpedia.org/resource/Heinrich_Altherr,nA,nA,nA,nA
6,"Angrand, Charles",http://dbpedia.org/resource/Charles_Angrand,nA,"Impressionism, Neo-impressionism",1854-04-19,1926-04-01
8,"Annot-Jacobi, Maria",http://dbpedia.org/resource/Maria_Annot-Jacobi,nA,nA,nA,nA
9,"Archipenko, Alexander",http://dbpedia.org/resource/Alexander_Archipenko,nA,Cubism,1887-05-30,1964-02-25
10,"Arnold, B",http://dbpedia.org/resource/B_Arnold,nA,nA,nA,nA
11,"Arnold, Wulf",http://dbpedia.org/resource/Wulf_Arnold,nA,nA,nA,nA
12,"Arntz, Gerd",http://dbpedia.org/resource/Gerd_Arntz,nA,nA,1900-12-11,1988-12-04
13,"Aschheim, Isidor",http://dbpedia.org/resource/Isidor_Aschheim,nA,nA,nA,nA
14,"Auberjonois, René Victor",http://dbpedia.org/resource/Ren%C3%A9_Victor_Auberjonois,Switzerland,Post-Impressionism,1872-08-18,1957-10-11
15,"Aufseeser, Ernst",http://dbpedia.org/resource/Ernst_Aufseeser,nA,nA,nA,nA
16,"Babberger, August",http://dbpedia.org/resource/August_Babberger,nA,nA,nA,nA
17,"Baer, Oswald",http://dbpedia.org/resource/Oswald_Baer,nA,nA,nA,nA
18,"Balwé, Arnold",http://dbpedia.org/resource/Arnold_Balw%C3%A9,nA,nA,nA,nA
19,"Banco, Alma del",http://dbpedia.org/resource/Alma_del_Banco,nA,nA,nA,nA
20,"Barlach, Ernst",http://dbpedia.org/resource/Ernst_Barlach,nA,nA,1870-01-02,1938-10-24
21,"Bartels, Rudolf",http://dbpedia.org/resource/Rudolf_Bartels,nA,nA,nA,nA
22,"Barth, Carl",http://dbpedia.org/resource/Carl_Barth,nA,nA,nA,nA
23,"Barz, Mathias",http://dbpedia.org/resource/Mathias_Barz,nA,nA,nA,nA
24,"Bauer, Rudolf",http://dbpedia.org/resource/Rudolf_Bauer,nA,nA,nA,nA
25,"Bauknecht, Philipp",http://dbpedia.org/resource/Philipp_Bauknecht,nA,nA,nA,nA
26,"Baum, Otto",http://dbpedia.org/resource/Otto_Baum,nA,nA,1911-11-15,1998-06-18
27,"Baumann, Fritz",http://dbpedia.org/resource/Fritz_Baumann,nA,nA,nA,nA
28,"Baumeister, Willi",http://dbpedia.org/resource/Willi_Baumeister,nA,nA,1889-01-22,1955-08-31
29,"Bäumer, Eduard",http://dbpedia.org/resource/Eduard_B%C3%A4umer,nA,nA,nA,nA
30,"Baur-Nütten, Gisela",http://dbpedia.org/resource/Gisela_Baur-N%C3%BCtten,nA,nA,nA,nA
31,"Bayer, Herbert",http://dbpedia.org/resource/Herbert_Bayer,"Austrians, United States",nA,1900-04-05,1985-09-30
32,"Becker, Curth Georg",http://dbpedia.org/resource/Curth_Georg_Becker,nA,nA,nA,nA
33,"Becker, Walter",http://dbpedia.org/resource/Walter_Becker,nA,nA,1950-02-20,nA
34,"Beckmann, Max",http://dbpedia.org/resource/Max_Beckmann,Germany,nA,nA,nA
35,"Bednorz, Robert",http://dbpedia.org/resource/Robert_Bednorz,nA,nA,nA,nA
36,"Beeh, René",http://dbpedia.org/resource/Ren%C3%A9_Beeh,nA,nA,nA,nA
37,"Behrens, Peter",http://dbpedia.org/resource/Peter_Behrens,Germany,nA,1868-04-14,1940-02-27
38,"Bell, Josef",http://dbpedia.org/resource/Josef_Bell,nA,nA,nA,nA
39,"Belling, Rudolf",http://dbpedia.org/resource/Rudolf_Belling,nA,nA,nA,nA
40,"Benn, Gottfried",http://dbpedia.org/resource/Gottfried_Benn,nA,nA,1886-05-02,1956-07-07
41,"Berger, Max",http://dbpedia.org/resource/Max_Berger,nA,nA,nA,nA
42,"Berger, O.",http://dbpedia.org/resource/O._Berger,nA,nA,nA,nA
43,"Berlit, Rüdiger",http://dbpedia.org/resource/R%C3%BCdiger_Berlit,nA,nA,nA,nA
44,"Best, Georg Jakob",http://dbpedia.org/resource/Georg_Jakob_Best,nA,nA,nA,nA
45,"Biermann, Georg",http://dbpedia.org/resource/Georg_Biermann,nA,nA,nA,nA
46,"Biesemann, Paul",http://dbpedia.org/resource/Paul_Biesemann,nA,nA,nA,nA
47,"Bindel, Paul",http://dbpedia.org/resource/Paul_Bindel,nA,nA,nA,nA
48,"Bing, Henry",http://dbpedia.org/resource/Henry_Bing,nA,nA,nA,nA
49,"Bischoff, Constanze",http://dbpedia.org/resource/Constanze_Bischoff,nA,nA,nA,nA
50,"Bissier, Julius",http://dbpedia.org/resource/Julius_Bissier,nA,nA,nA,nA
51,"Bizer, Emil",http://dbpedia.org/resource/Emil_Bizer,nA,nA,nA,nA
52,"Blanchard, Maria",http://dbpedia.org/resource/Maria_Blanchard,nA,nA,1881-03-06,1932-04-05
53,"Bloch, Albert",http://dbpedia.org/resource/Albert_Bloch,nA,nA,1882-08-02,1961-03-23
54,"Blumenthal, Hermann",http://dbpedia.org/resource/Hermann_Blumenthal,nA,nA,1905-12-31,1942-08-17
55,"Boccioni, Umberto",http://dbpedia.org/resource/Umberto_Boccioni,Italians,Futurism,1882-10-19,1916-08-17
56,"Bock, Ludwig",http://dbpedia.org/resource/Ludwig_Bock,nA,nA,nA,nA
57,"Böckstiegel, Peter August",http://dbpedia.org/resource/Peter_August_B%C3%B6ckstiegel,nA,nA,nA,nA
58,"Bollschweiler, Jack",http://dbpedia.org/resource/Jack_Bollschweiler,nA,nA,nA,nA
59,"Bonk, Artur",http://dbpedia.org/resource/Artur_Bonk,nA,nA,nA,nA
60,"Bösken, Lorenz",http://dbpedia.org/resource/Lorenz_B%C3%B6sken,nA,nA,nA,nA
61,"Bötticher, Walther",http://dbpedia.org/resource/Walther_B%C3%B6tticher,nA,nA,nA,nA
62,"Braque, Georges",http://dbpedia.org/resource/Georges_Braque,French people,"Cubism, Fauvism",1882-05-13,1963-08-31
63,"Brasch, Hans",http://dbpedia.org/resource/Hans_Brasch,nA,nA,nA,nA
64,"Braun, Eduard",http://dbpedia.org/resource/Eduard_Braun,nA,nA,nA,nA
65,"Breker, Arno",http://dbpedia.org/resource/Arno_Breker,nA,nA,1900-07-19,1991-02-13
66,"Brendgen, Elmar",http://dbpedia.org/resource/Elmar_Brendgen,nA,nA,nA,nA
67,"Brieger, L.",http://dbpedia.org/resource/L._Brieger,nA,nA,nA,nA
68,"Brockhusen, Theo von",http://dbpedia.org/resource/Theo_von_Brockhusen,nA,nA,nA,nA
69,"Brühlmann, Hans",http://dbpedia.org/resource/Hans_Br%C3%BChlmann,nA,nA,nA,nA
70,"Brun-Stiller, Benedikt",http://dbpedia.org/resource/Benedikt_Brun-Stiller,nA,nA,nA,nA
71,"Brün, Theo",http://dbpedia.org/resource/Theo_Br%C3%BCn,nA,nA,nA,nA
72,"Brüne, Heinrich",http://dbpedia.org/resource/Heinrich_Br%C3%BCne,nA,nA,nA,nA
73,"Brust, Karl Friedrich",http://dbpedia.org/resource/Karl_Friedrich_Brust,nA,nA,nA,nA
74,"Buchheister, Carl",http://dbpedia.org/resource/Carl_Buchheister,nA,nA,1890-10-17,1964-02-02
75,"Burchartz, Max",http://dbpedia.org/resource/Max_Burchartz,Germans,nA,1887-07-28,1961-01-31
76,"Burger-Mühlfeld, Fritz",http://dbpedia.org/resource/Fritz_Burger-M%C3%BChlfeld,nA,nA,nA,nA
