id,artist,uri,ntnl,mvmnt,born,died,subj_terms
1,"Abbo, Jussuf",http://dbpedia.org/resource/Jussuf_Abbo,nA,nA,nA,nA,nA
2,"Achmann, Josef",http://dbpedia.org/resource/Josef_Achmann,nA,nA,nA,nA,nA
3,"Adler, Jankel",http://dbpedia.org/resource/Jankel_Adler,nA,nA,1895-07-26,1949-04-25,"Modern_artists, Polish_Jews, Polish_emigrants_to_the_United_Kingdom, Polish_painters_of_Jewish_descent, 1895_births, 1949_deaths, People_from_Łódź, German_artists, Jewish_artists"
4,"Albers, Josef",http://dbpedia.org/resource/Josef_Albers,German-American,Geometric abstraction,1888-03-19,1976-03-26,"American_painters, American_people_of_German_descent, American_printmakers, German_painters, People_from_Bottrop, Bauhaus, 1888_births, 1976_deaths, AIGA_Medalists, Archives_of_American_Art_related, Officers_Crosses_of_the_Order_of_Merit_of_the_Federal_Republic_of_Germany, American_artists, Fellows_of_the_American_Academy_of_Arts_and_Sciences, German_emigrants_to_the_United_States, Members_of_the_American_Academy_of_Arts_and_Letters"
5,"Altherr, Heinrich",http://dbpedia.org/resource/Heinrich_Altherr,nA,nA,nA,nA,"1878_births, 1947_deaths, Swiss_painters"
6,"Angrand, Charles",http://dbpedia.org/resource/Charles_Angrand,French,"Impressionism, Neo-impressionism",1854-04-19,1926-04-01,"Artists_from_Paris, Impressionist_painters, Pointillism, Post-impressionist_painters, French_anarchists, 1854_births, 1926_deaths, People_from_Seine-Maritime, French_painters"
8,"Annot-Jacobi, Maria",http://dbpedia.org/resource/Maria_Annot-Jacobi,nA,nA,nA,nA,nA
9,"Archipenko, Alexander",http://dbpedia.org/resource/Alexander_Archipenko,nA,Cubism,1887-05-30,1964-02-25,"Ukrainian_avant-garde, American_people_of_Ukrainian_descent, American_sculptors, Burials_at_Woodlawn_Cemetery_(Bronx), 1887_births, 1964_deaths, Archives_of_American_Art_related, Imperial_Russian_emigrants_to_the_United_States, Russian_avant-garde, Ukrainian_artists, Cubist_artists, Members_of_the_American_Academy_of_Arts_and_Letters, Modern_sculptors, People_from_Kiev, Russian_artists, Ukrainian_sculptors, Eastern_Orthodox_Christians_from_the_Russian_Empire"
10,"Arnold, B",http://dbpedia.org/resource/B_Arnold,nA,nA,nA,nA,nA
11,"Arnold, Wulf",http://dbpedia.org/resource/Wulf_Arnold,nA,nA,nA,nA,nA
12,"Arntz, Gerd",http://dbpedia.org/resource/Gerd_Arntz,nA,nA,1900-12-11,1988-12-04,"German_graphic_designers, Council_communism, 1900_births, 1988_deaths, German_artists, German_illustrators, Left_communists, People_from_Remscheid"
