id,artist,uri
1,"Abbo, Jussuf",http://dbpedia.org/resource/Jussuf_Abbo
2,"Achmann, Josef",http://dbpedia.org/resource/Josef_Achmann
3,"Adler, Jankel",http://dbpedia.org/resource/Jankel_Adler
4,"Albers, Josef",http://dbpedia.org/resource/Josef_Albers
5,"Altherr, Heinrich",http://dbpedia.org/resource/Heinrich_Altherr
6,"Angrand, Charles",http://dbpedia.org/resource/Charles_Angrand
7,!Anhalzer,nA
8,"Annot-Jacobi, Maria",http://dbpedia.org/resource/Maria_Annot-Jacobi
9,"Archipenko, Alexander",http://dbpedia.org/resource/Alexander_Archipenko
10,"Arnold, B",http://dbpedia.org/resource/B_Arnold
11,"Arnold, Wulf",http://dbpedia.org/resource/Wulf_Arnold
12,"Arntz, Gerd",http://dbpedia.org/resource/Gerd_Arntz
13,"Aschheim, Isidor",http://dbpedia.org/resource/Isidor_Aschheim
14,"Auberjonois, René Victor",http://dbpedia.org/resource/Ren%C3%A9_Victor_Auberjonois
15,"Aufseeser, Ernst",http://dbpedia.org/resource/Ernst_Aufseeser
16,"Babberger, August",http://dbpedia.org/resource/August_Babberger
17,"Baer, Oswald",http://dbpedia.org/resource/Oswald_Baer
18,"Balwé, Arnold",http://dbpedia.org/resource/Arnold_Balw%C3%A9
19,"Banco, Alma del",http://dbpedia.org/resource/Alma_del_Banco
20,"Barlach, Ernst",http://dbpedia.org/resource/Ernst_Barlach
21,"Bartels, Rudolf",http://dbpedia.org/resource/Rudolf_Bartels
22,"Barth, Carl",http://dbpedia.org/resource/Carl_Barth
23,"Barz, Mathias",http://dbpedia.org/resource/Mathias_Barz
24,"Bauer, Rudolf",http://dbpedia.org/resource/Rudolf_Bauer
25,"Bauknecht, Philipp",http://dbpedia.org/resource/Philipp_Bauknecht
26,"Baum, Otto",http://dbpedia.org/resource/Otto_Baum
27,"Baumann, Fritz",http://dbpedia.org/resource/Fritz_Baumann
28,"Baumeister, Willi",http://dbpedia.org/resource/Willi_Baumeister
29,"Bäumer, Eduard",http://dbpedia.org/resource/Eduard_B%C3%A4umer
30,"Baur-Nütten, Gisela",http://dbpedia.org/resource/Gisela_Baur-N%C3%BCtten
31,"Bayer, Herbert",http://dbpedia.org/resource/Herbert_Bayer
32,"Becker, Curth Georg",http://dbpedia.org/resource/Curth_Georg_Becker
33,"Becker, Walter",http://dbpedia.org/resource/Walter_Becker
34,"Beckmann, Max",http://dbpedia.org/resource/Max_Beckmann
35,"Bednorz, Robert",http://dbpedia.org/resource/Robert_Bednorz
36,"Beeh, René",http://dbpedia.org/resource/Ren%C3%A9_Beeh
37,"Behrens, Peter",http://dbpedia.org/resource/Peter_Behrens
38,"Bell, Josef",http://dbpedia.org/resource/Josef_Bell
39,"Belling, Rudolf",http://dbpedia.org/resource/Rudolf_Belling
40,"Benn, Gottfried",http://dbpedia.org/resource/Gottfried_Benn
41,"Berger, Max",http://dbpedia.org/resource/Max_Berger
42,"Berger, O.",http://dbpedia.org/resource/O._Berger
43,"Berlit, Rüdiger",http://dbpedia.org/resource/R%C3%BCdiger_Berlit
44,"Best, Georg Jakob",http://dbpedia.org/resource/Georg_Jakob_Best
45,"Biermann, Georg",http://dbpedia.org/resource/Georg_Biermann
